Provinces.Code,Provinces.Name,Year,NE.GDI.STKB.SNA08.CR,NE.GDI.EXPT.SNA08.CR,NE.GDI.CON.GOVT.SNA08.CR,NE.GDI.FTOT.SNA08.CR,NE.GDI.IMPT.SNA08.CR,NE.GDI.INEX.SNA08.CR,NE.GDI.CON.NPI.SNA08.CR,NE.GDI.CON.PRVT.SNA08.CR,NA.GDP.ACC.FB.SNA08.CR,NA.GDP.AGR.SNA08.CR,NA.GDP.BUSS.SNA08.CR,NA.GDP.CNST.SNA08.CR,NA.GDP.EDUS.SNA08.CR,NA.GDP.ELEC.GAS.SNA08.CR,NA.GDP.FINS.SNA08.CR,NA.GDP.HLTH.SOCW.SNA08.CR,NA.GDP.INF.COMM.SNA08.CR,NA.GDP.MNF.SNA08.CR,NA.GDP.MINQ.SNA08.CR,NA.GDP.SRV.OTHR.SNA08.CR,NA.GDP.PADM.DEF.SNA08.CR,NA.GDP.REST.SNA08.CR,NA.GDP.TRAN.STOR.SNA08.CR,NA.GDP.WTR.WST.SNA08.CR,NA.GDP.TRD.SNA08.CR,IDX.HDI.REV,SL.EMP.AGR.FRST.FSH,SL.EMP.CNST,SL.EMP.ELC,SL.EMP.FINS,SL.EMP.IND,SL.EMP.MINQ,SL.EMP.SOCL,SL.EMP.TRAD,SL.EMP.TRAN,SL.TLF,SI.POV.BPL,SI.POV.NAPR.ZS,NE.GDI.TOTL.SNA08.CR,Population,Jokowi.Vote,Prabowo.Vote
ID.BB,"Kepulauan Bangka-Belitung, Prop.",2017,769743.0081,23091571.42,7944682.218,18217962.88,1751978.574,-19078374.32,,40284283.09,1735578.863,13145567.54,196753.1689,6381386.178,1961729.138,79429.66534,1280632.264,846054.9782,1135349.462,14276471.09,8179210.849,548547.6993,4116313.495,2284221.237,2900091.286,15040.66406,10890854.91,69.99,219002,35520,2502,11856,42623,91438,118203,134065,17409,699017,74090,5.2,69477889.73,1430900,63.23,36.77
ID.KR,"Kepulauan Riau, Prop.",2017,379435.2496,210781161.4,14923063.75,238512077.8,36341683.94,-3929719.087,556521.4654,92526918.7,5061473.369,7940936.152,11661.95467,41409192.35,3428414.828,2689974.524,6269835.527,2119212.961,4575789.723,84434954.91,33209784.23,1075073.684,5973809.789,3518734.091,7507030.046,284133.721,20233105.04,74.45,78782,90041,5951,39226,191572,8773,190602,235539,56445,966091,125370,6.06,517407775.3,2082700,54.19,45.81
ID.LA,"Lampung, Prop.",2017,1364768.993,52942838.91,26514473.4,97348645.01,38028658.36,-19122471.78,4539285.46,182892101.4,4747519.141,93766765.8,481751.148,28636024.04,8564266.78,484505.19,6759140.72,2912137.858,12019946.02,58322273.25,17324762.49,2768352.681,10759521.27,9182420.752,16181628.55,325584.158,35214383.17,68.25,1790035,243393,10550,68566,306052,23806,511404,756930,185494,4072487,1131730,13.69,308450983,8289600,59.34,40.66
ID.MU,"Maluku Utara, Prop.",2017,-540594.01,4089115.28,11002608.12,9822582.94,2312530.83,-8276658.87,383530.12,18104518.8,149195.2167,7728310.121,102175.3265,2137511.884,1178353.729,32445.63405,1011074.218,662601.1108,1179110.63,2075988.605,2963290.985,247454.6778,5102909.686,36984.93263,2018992.493,25600.31481,5620571.985,67.2,199027,29793,855,10184,34058,14444,106991,63898,29465,516231,76470,6.35,32272571.55,1209300,47.39,52.61
ID.MA,"Maluku, Prop.",2017,212602.35,3893887.72,17083589.97,12125579.83,6039005.44,-17993059.11,925819.91,29669369.59,683765.1935,9491966.118,396789.3844,3008592.5,2301862.637,38131.584,1499533.965,862188.2313,1223991.39,2125089.216,912832.0555,665651.6078,8873087.427,123362.6031,2080085.721,169570.3756,5422284.822,68.19,240829,33791,3859,8715,51656,9081,152709,98884,42537,707796,320510,18.45,39878784.82,1744700,46.88,53.12
ID.AC,"Nanggroe Aceh Darussalam, Prop.",2017,-124116,2154062,35774029,54247424,2538525,-37909177,3113921,91765735,2223649.59,43404302.41,904305.0411,13767713.86,3787330.792,193201.5914,2933815.872,3854998.617,4353795.377,7533238.21,6798255.785,2033529.863,14628140.26,5973403.116,10189721.49,62505.98305,23841445,70.6,831142,160472,7533,34992,146960,17363,487508,367096,85446,2288777,872610,16.89,146483353,5189500,14.41,85.59
ID.NB,"Nusa Tenggara Barat, Prop.",2017,993753.9547,17526278.73,19727376.63,44028474.48,3903925.768,-31575206.73,1810761.59,75319385.16,2826850.277,27230174.64,211104.152,10987929.08,5680642.629,91000,4257336.431,2184443.826,2303211.26,4909792.542,24108618.77,2459700.463,7437794.894,3834423.237,8917868.51,105618.751,16380764.71,66.58,829637,171694,6793,37474,272857,31176,363364,514871,88854,2396169,793780,16.07,123926898,4955600,32.11,67.89
ID.NT,"Nusa Tenggara Timur, Prop.",2017,571030.4654,2282868.313,27194486.11,38685564.62,1101702.558,-46100563.73,2920513.836,66707542.95,675948.7433,26183603.38,279075.041,9787048.849,8917404.592,66388.98066,3726411.783,1941036.821,6194544.615,1147211.204,1186098.584,1945361.26,11697015.52,2347678.811,4942877.311,50483.47117,10071551.05,63.73,1271534,97965,6173,35197,205314,25686,338618,237329,102245,2398609,1150790,21.85,91159740.01,5287300,88.57,11.43
ID.IB,"Papua Barat, Prop.",2017,3934345.65,26289317.15,16006441.97,15472554.28,1290132.19,-9854018.058,746420.96,20483626.43,462923.8165,7850363.236,83629.82691,11225990.19,1754526.851,31276.99019,1128157.896,575203.6005,1176689.661,18618954.65,12893125.02,211211.3762,7712897.073,918123.0552,2124596.984,75897.71293,4944988.254,62.99,141927,23483,2519,10280,21771,10002,95068,71200,26276,430478,228380,25.1,71788556.19,915400,79.81,20.19
ID.PA,"Papua, Prop.",2017,7047414,34829844.89,39259979.87,56543197.71,7497949.78,-16045801.18,521097.63,87903533.79,1517698.455,22277435.07,2155154.255,24756192.32,3497704.578,68930.48144,2915295.346,2948336.771,7045765.519,3972040.028,69118562.72,1939714.792,17191351.07,4977634.395,10004119.5,99586.53803,17129885.12,59.09,1163328,41363,1632,17267,37917,16773,231233,136261,53297,1762841,897690,27.62,202561316.9,3265200,77.39,22.61
ID.RI,"Riau, Prop.",2017,5056471.013,210750679.2,28775183.52,98120452.67,183584235,-3522466.564,3415547.123,259002304.1,3816223.024,166772360.9,38026.92659,61696535.1,3647669.954,443603.365,6254327.994,1314852.66,4753081.234,178589423.7,182967669.8,3480268.463,10665028.47,6085292.221,6039477.456,80953.91613,69033799.15,71.79,1112332,154491,5303,72033,182472,28947,499290,609413,116740,2965585,514620,7.78,418013936,6657900,38.84,61.16
ID.SR,"Sulawesi Barat, Prop.",2017,148717.16,5215496.41,7403804.45,12201830.46,236748.32,-5509917.44,297637.36,20097150.64,90796.57547,16454972.08,27448.46179,3236316.35,1993999.455,15435.26906,880062.5763,780609.8139,1569119.293,3991885.558,896073.678,716025.6848,3189099.87,1055619.593,555732.1497,58456.1641,4106318.149,64.3,299957,39795,304,5948,41717,5953,97660,83246,20424,614748,149760,11.3,39617970.72,1331000,64.32,35.68
ID.SE,"Sulawesi Selatan, Prop.",2017,2937295.99,16677597.96,39208129.06,157068875.5,17802331.06,-9672257.856,5109718.09,225404554.6,5696245.971,95895428.2,1845249.989,53386349.75,21756446.2,268705.5195,15797237.2,8188614.566,19933014.1,57449330.34,22474976.66,5567574.034,18194823.09,16151288.36,17514084.49,430766.1705,58381447.64,70.34,1391639,232673,14545,71009,262936,28715,652899,766755,177492,3812358,813070,9.38,418931582.3,8690300,40.73,59.27
ID.ST,"Sulawesi Tengah, Prop.",2017,4276443.78,41281733.45,17041339.44,55252141.67,12536898.61,-40028549.16,2423514.46,66440683.51,719143.1166,38818219.41,335074.6847,16785470.52,5165474.615,44075.81675,3160666.889,1818779.496,4291036.043,16570871,17229245.7,1176588.14,8290805.077,2455786.107,5206624.289,176594.1726,11998953.46,68.11,608746,83518,2983,20905,86986,30491,277670,218002,44913,1428583,417870,14.14,134150408.5,2966300,56.41,43.59
ID.SG,"Sulawesi Tenggara, Prop.",2017,993633.39,5419280.78,15514665.58,42983469.26,10669312.57,-1152652.459,1099783.32,53276332.03,640977.7026,25876884.36,219352.8381,14345870.82,4875374.77,44782.17808,2629875.577,972075.2491,1984437.868,6592342.702,22227420.3,1395848.794,5532160.481,1601738.051,4849621.154,194812.665,13481623.82,69.86,430346,75254,5191,23806,98330,22479,242184,222351,41033,1200605,331710,12.81,107465199.3,2602400,39.75,60.25
ID.SW,"Sulawesi Utara, Prop.",2017,9700.15,16109238.12,19275964.48,38425306.05,4495775.28,-10761892.12,2262669.19,49339270.52,2445734.35,23704396.53,102183.1235,12647445.07,3020930.739,104621.6838,4420944.335,3835444.744,4322097.968,10310606.39,5329459.479,1719995.009,8924535.504,3799342.648,11974627.27,135448.3618,13366667.92,71.66,264679,94604,4872,35873,82781,23140,225694,231717,77466,1121309,198880,8.1,110164481.1,2461000,77.23,22.77
ID.SB,"Sumatera Barat, Prop.",2017,326555.7187,27071812.64,27200850.46,64223595.29,7348293.957,-11796455.65,2255478.268,112651686.5,2906759.461,50541605.83,922959.073,20008574.41,8854791.458,240385.5329,6627783.017,2856972.063,11331134.64,20835234.5,9132512.22,3944582.99,12543702.46,4219482.99,27131111.32,197019.6001,32290617.7,71.24,824649,137608,8750,45997,199994,37611,421121,572835,96407,2483675,364510,6.87,214585229.3,5321500,14.08,85.92
ID.SL,"Sumatera Selatan, Prop.",2017,-287290.9868,59586012.93,30516769.09,147794042.1,9754956.893,-105581413.4,,255796798.4,6263417.704,60861880.89,459951.0803,50682608.24,9463365.761,493322.7989,10081685.97,2365738.744,10627817.85,74900283.96,73245218.87,2794956.266,12090521.83,11596643.56,8854638.347,444863.5991,48531686.84,68.86,1902120,191045,8933,65141,279370,51348,616883,672728,154966,4123669,1086920,13.19,378069961.3,8267000,40.3,59.7
ID.SU,"Sumatera Utara, Prop.",2017,8053874.565,132941643.5,51843679.31,213362357.9,72249263.83,,6058240.695,364082119.1,16330132.59,146366367.8,7089625.542,92589579.21,12443052.28,788339.8115,21729043.62,6453788.442,13582774.21,138823782.9,8870347.563,3962864.226,24023926.92,33387320.22,34277079.6,766836.4865,122584627.1,70.57,2388570,341769,21095,157489,574570,40276,1098863,1410559,332798,6743277,1453870,10.22,704092651.3,14262100,61.52,38.48
