Provinces.Code,Provinces.Name,Year,NE.GDI.STKB.SNA08.CR,NE.GDI.EXPT.SNA08.CR,NE.GDI.CON.GOVT.SNA08.CR,NE.GDI.FTOT.SNA08.CR,NE.GDI.IMPT.SNA08.CR,NE.GDI.INEX.SNA08.CR,NE.GDI.CON.NPI.SNA08.CR,NE.GDI.CON.PRVT.SNA08.CR,NA.GDP.ACC.FB.SNA08.CR,NA.GDP.AGR.SNA08.CR,NA.GDP.BUSS.SNA08.CR,NA.GDP.CNST.SNA08.CR,NA.GDP.EDUS.SNA08.CR,NA.GDP.ELEC.GAS.SNA08.CR,NA.GDP.FINS.SNA08.CR,NA.GDP.HLTH.SOCW.SNA08.CR,NA.GDP.INF.COMM.SNA08.CR,NA.GDP.MNF.SNA08.CR,NA.GDP.MINQ.SNA08.CR,NA.GDP.SRV.OTHR.SNA08.CR,NA.GDP.PADM.DEF.SNA08.CR,NA.GDP.REST.SNA08.CR,NA.GDP.TRAN.STOR.SNA08.CR,NA.GDP.WTR.WST.SNA08.CR,NA.GDP.TRD.SNA08.CR,IDX.HDI.REV,SL.EMP.AGR.FRST.FSH,SL.EMP.CNST,SL.EMP.ELC,SL.EMP.FINS,SL.EMP.IND,SL.EMP.MINQ,SL.EMP.SOCL,SL.EMP.TRAD,SL.EMP.TRAN,SL.TLF,SI.POV.BPL,SI.POV.NAPR.ZS,NE.GDI.TOTL.SNA08.CR,Population,Jokowi.Vote,Prabowo.Vote
ID.MA,"Maluku, Prop.",2013,281121.89,3605265.32,10831192.56,7996873.24,4019256.36,-9634405.01,606353.45,18167297.01,508887.1674,6962687.665,288889.5384,2016630.398,1465976.056,14780.53764,990397.3312,629841.8357,811606.6222,1464745.697,1028386.538,490657.0852,5881320.623,95157.61747,1442004.358,126973.0089,3615500.021,66.09,290707,27856,2668,8455,20154,9688,120901,84496,37504,668721,315200,19.27,27834442.1,1628400,50.52,49.48
ID.AC,"Nanggroe Aceh Darussalam, Prop.",2013,-37006,10539574,29655933,38965802,1540315,-27023033,1952959,68817214,1290932.092,32254068.15,664725.4413,10396155.28,2279672.433,121834.0979,2106944.371,2784610.131,3921163.34,9759312.008,14745738.47,1409852.228,8844477.831,3856064.215,9345929.37,35739.76292,17513910.42,68.3,860231,106820,4810,23079,74656,13692,381038,313745,64600,2050076,856900,17.72,121331128,4811100,45.61,54.39
ID.NB,"Nusa Tenggara Barat, Prop.",2013,-350108.1,4967320.33,11658708.8,28720190.83,2968077.19,-26182634.03,1130008.12,56643475.61,1588124.849,17539822.02,132743.4674,6774549.114,3710477.664,37291.1132,2478208.26,1464988.549,1557688.702,3601137.196,9836268.4,1591476.034,4922242.576,2472529.123,5804542.372,71988.63543,10034806.29,63.76,920401,108364,1556,30982,163533,34182,317354,383756,72154,2146002,815500,17.25,73618884.37,4710800,27.55,72.45
ID.NT,"Nusa Tenggara Timur, Prop.",2013,1164331.69,1196293.97,17083005.23,20620336.28,923528.5,-27025557.01,1868304.92,47342068.61,367820.1253,18272822.42,188486.7288,6344807.887,5679554.084,23569.5058,2389329.023,1279704.261,4660243.399,758818.343,894151.9439,1361280.871,7592137.263,1705495.175,3195324.769,41817.67797,6569891.713,61.68,1284591,76341,3734,22371,150998,23052,273621,165532,104267,2175171,1006900,20.24,61325255.19,4954000,65.92,34.08
ID.IB,"Papua Barat, Prop.",2013,-1165491.05,36886705.96,10296201.4,10193499.1,748409.9,-16290788.62,450181.03,13375761.35,286923.5113,5557691.48,54067.25888,6282087.562,1170071.555,14422.58336,761132.4593,384482.8789,744458.0978,16049531.2,12262098.55,140906.3641,4633717.519,550588.603,1171890.254,53917.16789,2879672.239,60.91,177117,12955,912,4236,12971,9529,70614,51741,19452,376081,226200,27.14,52997659.27,828300,67.63,32.37
ID.PA,"Papua, Prop.",2013,335757.67,30253202.74,26176235.14,36340091.4,6744351.55,-22990112.04,385939.43,57323963.55,876157.3135,15595371.37,1434929.238,13173857.79,2423667.849,31822.61698,2090182.805,1849261.494,4359672.734,2589377.976,48255375.31,1275138.355,10095516.88,3159759.563,5808798.236,71804.17363,9766476.768,56.25,1140787,32757,1125,17132,21496,23883,156594,113899,52002,1610484,960600,31.52,121080726.3,3032500,72.49,27.51
ID.RI,"Riau, Prop.",2013,35401415.82,116659959.8,21227801.18,66677020.53,138744160.2,16744679.35,2258190.928,171473395,2356064.51,115444555,23423.17642,38268199.73,2271815.232,180354.1495,4925502.08,787618.6531,3148729.425,124879976.6,256395342.8,1870646.387,8777008.163,4057173.27,3760843.722,62198.05603,40288998.8,69.91,1106544,135356,6700,63209,159070,43438,380519,493755,90902,2623310,511500,8.42,291698302.3,6033300,49.88,50.12
ID.SR,"Sulawesi Barat, Prop.",2013,257953.03,20890.76,4694733.05,7152158.73,18708.96,-1071786.09,199812.8,14014432.23,62149.69259,10676422.71,20365.03,1986633.31,1335863.235,10212.43373,553005.3802,518642.21,999395.14,2064862.474,518685.62,452378.84,2180766.47,759167.16,390281.33,42955.31,2677699.21,61.53,314096,24298,694,6756,24965,4740,77844,74789,17256,558574,151700,12.23,25249485.55,1234300,73.37,45.27
ID.SE,"Sulawesi Selatan, Prop.",2013,4419977.7,18749514.62,28718940.13,94883695.03,15332777.85,-22329424.51,3083417.19,146643073.9,3563976.612,57367113.52,1147886.24,31516195.99,13885863.23,177425.6045,9597102.243,4682428.78,13785116.94,35486786.72,17883290.82,3184441.75,12240136.55,9903932.866,10426497.38,354755.4789,33633465.47,67.92,1473322,196241,8423,73290,200084,22450,611494,618379,172866,3558183,863200,10.32,258836416.2,8342000,71.43,28.57
ID.ST,"Sulawesi Tengah, Prop.",2013,1657125.05,6342847.58,11783906.76,31553283.28,539993.5,-16388777.25,1446222.49,43987610.28,447055.126,27434882.5,220231.9459,8879516.012,3403974.817,28054.942,1959190.958,1148236.618,2731960.945,4528057.881,10492381.94,708873.2861,5245310.346,1577257.51,3351194.734,115524.7999,7570520.337,65.79,616499,65740,3669,18263,62348,21307,230477,176118,44701,1293332,400400,14.32,79842224.69,2785500,54.83,45.17
